*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=HighVoltageAmplifier
*Date=10:32:58
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
237;220;2512 [SMD];76.7867;-94.2446;180;Top;v R9
238;220;2512 [SMD];76.7867;-80.9096;180;Top;R93
239;;;5.5372;-78.2322;0;Bottom;Copper Fill132
240;adjustable;sot223;92.1978;-48.6095;180;Top;T2
241;;;93.4974;-42.8627;0;Bottom;Copper Fill76
242;;;95.1441;-69.4796;0;Bottom;Via232
243;;;72.5424;-4.1531;0;Bottom;Copper Fill44
244;;;103.861;-15.5704;0;Bottom;Copper Fill29
245;adjustable;sot223;49.6528;-84.3172;0;Top;T1
246;;;78.6341;-43.7622;0;Bottom;Via283
247;;;30.353;-4.7627;0;Bottom;Copper Fill231
248;;;90.9701;-25.1208;0;Bottom;Copper Fill74
249;0.47µF;0805 [SMD, multilayer];40.5342;-84.6472;90;Top;C2
250;;;12.0396;-28.2831;0;Bottom;Copper Fill233
251;;;30.9873;-42.5112;0;Bottom;Via249
252;220;0805 [SMD];62.4204;-43.4995;-90;Top;R1
253;;;6.0198;-75.6414;0;Bottom;Copper Fill135
254;;;50.0442;-89.4415;0;Bottom;Via289
255;;;69.4267;-37.0947;0;Bottom;Via257
256;220;0805 [SMD];51.0031;-69.3709;90;Top;R6
257;;;69.5406;-8.92487;0;Bottom;TXT1
258;;;61.1636;-11.2438;0;Bottom;blkr23
259;;;18.3896;-45.8218;0;Bottom;Copper Fill15
260;;;41.7576;-53.3275;0;Bottom;Copper Fill92
261;;;88.7941;-41.5397;0;Bottom;Via291
262;;;22.3774;-42.596;0;Bottom;Copper Fill166
263;;;95.1441;-21.5372;0;Bottom;Via222
264;;;7.19657;-28.2047;0;Bottom;Via134
265;100nF;0805 [SMD, multilayer];85.6191;-17.3371;90;Top;C109
266;;;22.5221;-38.0001;-45;Top;blkr5
267;;;102.525;-42.8724;0;Bottom;IMG3
268;;SO;65.8124;-21.8419;90;Top;IC4
269;;;71.4756;-37.1604;0;Bottom;Copper Fill171
270;;;31.2801;-3.861;0;Bottom;Copper Fill54
271;;;80.2216;-14.8697;0;Bottom;Via172
272;;;79.7253;-7.83707;90;Top;blkr18
273;;;9.7028;-40.564;0;Bottom;Copper Fill164
274;;;73.8378;-39.3194;0;Bottom;Copper Fill168
275;;;108.506;-16.49;0;Bottom;Via98
276;100nF;0805 [SMD, multilayer];91.8966;-45.0321;0;Bottom;C95
277;100nF;0805 [SMD, multilayer];91.8966;-49.4771;0;Bottom;C93
278;;;68.072;-33.452;0;Bottom;Copper Fill175
279;;;5.0546;-80.7722;0;Bottom;Copper Fill130
280;;;37.0417;-82.4972;0;Bottom;Via268
281;;;29.6545;-49.8858;0;Bottom;Copper Fill84
282;;;18.7198;-20.5742;0;Bottom;Copper Fill197
283;;;89.0397;-53.3656;0;Bottom;Copper Fill56
284;;;19.6254;-47.1621;-6.36109e-15;Top;blkr4
285;;;100.644;-78.4479;0;Bottom;TXT2
